order_id,user_id,order_date,payment_method,shipping_method,shipping_cost,order_status,shipping_province,shipping_city,total_amount,discount_amount,actual_amount
129,3066,2026-06-30,微信支付,普通快递,5.0,已完成,浙江,嘉兴,336.98,97.29,244.69
130,4788,2026-06-30,银行卡,自提,0.0,待付款,江西,景德镇,82.64,13.19,69.45
131,11047,2026-06-30,支付宝,加急快递,19.89,已完成,陕西,宝鸡,235.95,71.2,184.64
132,10366,2026-06-30,微信支付,当日达,30.68,已完成,上海,闵行区,1336.46,336.78,1030.3600000000001
133,4376,2026-06-30,花呗分期,加急快递,25.08,已完成,湖北,襄阳,998.18,8.81,1014.45
134,5106,2026-06-30,微信支付,普通快递,12.0,已取消,湖南,株洲,297.92,0.0,309.92
135,3544,2026-06-30,微信支付,普通快递,5.0,待付款,湖南,株洲,245.31,0.0,250.31
136,7458,2026-06-30,微信支付,自提,0.0,已完成,福建,福州,148.67,29.6,119.07
137,4350,2026-06-30,微信支付,加急快递,16.18,已完成,上海,黄浦区,136.28,18.43,134.03
138,9647,2026-06-30,支付宝,自提,0.0,已完成,北京,大兴区,46.16,2.84,43.31999999999999
139,5727,2026-06-30,支付宝,自提,0.0,退货中,陕西,咸阳,195.54,6.36,189.17999999999998
140,2653,2026-06-30,支付宝,普通快递,10.0,待付款,山东,青岛,96.63,0.0,106.63
141,5367,2026-06-30,货到付款,普通快递,12.0,已取消,北京,海淀区,483.21,0.0,495.21
142,8815,2026-06-30,微信支付,普通快递,0.0,已取消,天津,河东区,282.13,0.0,282.13
143,5463,2026-06-30,支付宝,普通快递,0.0,待发货,上海,杨浦区,760.01,51.02,708.99
144,6863,2026-06-30,花呗分期,普通快递,5.0,已取消,上海,闵行区,892.55,14.07,883.4799999999999
145,10974,2026-06-30,银行卡,普通快递,0.0,已完成,陕西,汉中,171.82,2.9,168.92
146,8555,2026-06-29,支付宝,当日达,31.98,已完成,湖北,襄阳,164.24,0.56,195.66
147,11961,2026-06-29,支付宝,自提,0.0,已退款,辽宁,营口,436.3,1.54,434.76
148,924,2026-06-29,花呗分期,普通快递,8.0,已完成,广西,南宁,61.16,2.84,66.32
149,8994,2026-06-29,支付宝,普通快递,8.0,已完成,北京,西城区,233.71,1.99,239.72
150,8786,2026-06-29,支付宝,普通快递,5.0,已完成,湖北,宜昌,162.34,0.0,167.34
151,1313,2026-06-29,微信支付,加急快递,24.47,已完成,辽宁,沈阳,200.41,1.6,223.28
152,11605,2026-06-29,微信支付,自提,0.0,已完成,福建,莆田,135.26,49.56,85.69999999999999
153,10148,2026-06-29,银行卡,普通快递,5.0,已取消,福建,福州,166.29,46.37,124.91999999999999
154,6161,2026-06-29,支付宝,普通快递,0.0,待付款,河北,沧州,721.72,28.99,692.73
155,2658,2026-06-29,微信支付,加急快递,23.75,待发货,上海,浦东新区,55.86,0.0,79.61
156,2250,2026-06-29,支付宝,普通快递,0.0,已发货,北京,海淀区,137.48,0.0,137.48
157,1544,2026-06-29,支付宝,自提,0.0,已完成,北京,朝阳区,92.3,9.74,82.56
158,2339,2026-06-29,货到付款,加急快递,13.75,已取消,山东,济南,38.8,0.0,52.55
159,11107,2026-06-29,微信支付,加急快递,14.43,已退款,上海,徐汇区,106.56,2.89,118.1
160,7613,2026-06-29,京东白条,自提,0.0,已退款,江苏,南京,185.58,19.26,166.32000000000002
161,1506,2026-06-29,微信支付,自提,0.0,待发货,北京,朝阳区,106.97,0.0,106.97
162,11070,2026-06-29,银行卡,普通快递,10.0,已发货,辽宁,大连,397.61,0.0,407.61
163,650,2026-06-29,微信支付,普通快递,5.0,已完成,湖南,长沙,20.98,0.0,25.98
164,4930,2026-06-29,支付宝,加急快递,27.7,已完成,湖北,黄石,19.0,0.0,46.7
165,8902,2026-06-29,支付宝,普通快递,8.0,已完成,湖南,湘潭,211.33,18.32,201.01000000000002
166,9872,2026-06-29,花呗分期,当日达,28.04,已完成,福建,漳州,84.34,5.06,107.32
167,10121,2026-06-29,微信支付,普通快递,5.0,待发货,天津,南开区,244.18,0.0,249.18
168,11358,2026-06-29,微信支付,普通快递,0.0,已完成,广东,中山,616.59,0.0,616.59
169,3237,2026-06-29,花呗分期,普通快递,0.0,退货中,辽宁,锦州,339.74,0.0,339.74
170,4614,2026-06-29,花呗分期,普通快递,12.0,已完成,上海,长宁区,110.77,0.0,122.77
171,7601,2026-06-29,支付宝,加急快递,27.44,已完成,江苏,苏州,35.05,0.0,62.489999999999995
172,10531,2026-06-29,支付宝,加急快递,20.36,退货中,湖北,武汉,254.48,0.0,274.84
173,7208,2026-06-29,银行卡,加急快递,22.95,已完成,湖南,岳阳,447.75,0.0,470.7
174,3284,2026-06-29,支付宝,普通快递,5.0,已发货,广东,东莞,866.24,80.57,790.6700000000001
175,9630,2026-06-29,花呗分期,加急快递,16.73,已完成,四川,德阳,20.49,0.26,36.959999999999994
176,10835,2026-06-29,银行卡,当日达,27.93,已完成,河北,沧州,26.45,10.37,44.01
177,98,2026-06-29,支付宝,当日达,39.56,已完成,北京,海淀区,1194.19,0.0,1233.75
178,58,2026-06-29,支付宝,普通快递,5.0,退货中,浙江,杭州,22.03,0.0,27.03
179,11461,2026-06-29,支付宝,当日达,32.52,待付款,贵州,遵义,55.92,0.0,88.44
180,6682,2026-06-29,花呗分期,加急快递,21.11,退货中,江苏,徐州,353.24,8.71,365.64000000000004
181,1069,2026-06-29,微信支付,普通快递,5.0,已完成,浙江,嘉兴,117.59,0.32,122.27000000000001
182,4304,2026-06-29,支付宝,普通快递,0.0,已完成,陕西,宝鸡,189.62,17.58,172.04000000000002
183,6808,2026-06-29,支付宝,加急快递,28.53,已发货,上海,长宁区,95.44,0.0,123.97
184,7496,2026-06-29,支付宝,普通快递,10.0,已完成,重庆,九龙坡区,141.65,10.06,141.59
185,1975,2026-06-29,银行卡,自提,0.0,已完成,浙江,杭州,45.2,0.0,45.2
186,10087,2026-06-29,微信支付,普通快递,10.0,已完成,河南,郑州,50.1,8.3,51.8
187,6544,2026-06-29,支付宝,普通快递,8.0,待发货,浙江,绍兴,137.75,32.7,113.05
188,6314,2026-06-29,微信支付,当日达,28.29,已完成,福建,厦门,162.04,16.78,173.54999999999998
189,6501,2026-06-29,微信支付,普通快递,8.0,已完成,重庆,南岸区,419.16,107.57,319.59000000000003
190,749,2026-06-29,货到付款,普通快递,0.0,已取消,北京,西城区,70.52,2.12,68.39999999999999
191,9016,2026-06-29,支付宝,自提,0.0,已发货,上海,静安区,81.47,13.77,67.7
192,975,2026-06-29,银行卡,普通快递,0.0,已发货,北京,丰台区,330.0,11.48,318.52
193,5577,2026-06-29,支付宝,加急快递,16.5,已完成,广东,惠州,101.24,0.09,117.64999999999999
194,7070,2026-06-29,支付宝,自提,0.0,待发货,内蒙古,通辽,84.09,2.93,81.16
195,2557,2026-06-29,银行卡,加急快递,17.49,已完成,上海,长宁区,338.13,0.0,355.62
196,5798,2026-06-29,支付宝,普通快递,0.0,已发货,湖北,武汉,486.07,10.04,476.03
197,3451,2026-06-29,银行卡,加急快递,24.01,待付款,湖南,衡阳,403.11,0.58,426.54
198,8510,2026-06-29,支付宝,普通快递,0.0,已完成,北京,海淀区,160.0,1.78,158.22
199,6416,2026-06-29,微信支付,自提,0.0,待付款,四川,宜宾,77.9,0.69,77.21000000000001
200,1123,2026-06-29,支付宝,普通快递,10.0,已完成,云南,大理,43.47,0.0,53.47
201,7194,2026-06-29,银行卡,加急快递,25.81,已退款,上海,徐汇区,291.29,0.0,317.1
202,1654,2026-06-29,支付宝,普通快递,0.0,已完成,湖北,黄石,113.99,2.72,111.27
203,33,2026-06-29,微信支付,普通快递,12.0,已完成,湖南,衡阳,312.33,0.0,324.33
204,1775,2026-06-29,花呗分期,自提,0.0,已完成,北京,海淀区,165.33,0.0,165.33
205,49,2026-06-29,微信支付,普通快递,8.0,已发货,湖北,武汉,138.5,0.0,146.5
206,11864,2026-06-29,微信支付,自提,0.0,已完成,福建,莆田,251.71,4.51,247.20000000000002
207,7600,2026-06-29,货到付款,加急快递,25.98,退货中,湖北,十堰,92.62,0.0,118.60000000000001
208,7500,2026-06-29,银行卡,加急快递,26.53,已完成,北京,东城区,402.2,1.88,426.85
209,11212,2026-06-29,微信支付,普通快递,10.0,待付款,安徽,淮南,574.94,0.0,584.94
210,1543,2026-06-29,支付宝,自提,0.0,已发货,辽宁,沈阳,38.5,5.27,33.230000000000004
211,334,2026-06-29,支付宝,普通快递,0.0,已完成,广东,中山,109.75,17.59,92.16
212,8192,2026-06-29,银行卡,普通快递,10.0,已完成,重庆,渝中区,349.09,1.28,357.81
213,7406,2026-06-29,支付宝,加急快递,14.73,已完成,北京,海淀区,399.22,0.0,413.95000000000005
214,10865,2026-06-29,支付宝,普通快递,12.0,已完成,湖南,常德,216.19,1.9,226.29
215,3897,2026-06-29,支付宝,加急快递,14.38,已取消,江苏,无锡,25.5,2.47,37.410000000000004
216,6632,2026-06-29,支付宝,自提,0.0,已完成,安徽,淮南,34.83,7.69,27.139999999999997
217,6778,2026-06-29,银行卡,自提,0.0,已完成,北京,大兴区,109.85,0.0,109.85
218,3101,2026-06-29,支付宝,自提,0.0,已取消,湖北,宜昌,150.52,0.0,150.52
219,4350,2026-06-29,支付宝,普通快递,5.0,待付款,上海,黄浦区,102.82,23.52,84.3
220,4204,2026-06-29,京东白条,自提,0.0,已完成,湖北,荆州,1450.81,4.02,1446.79
221,10139,2026-06-29,支付宝,加急快递,22.01,已完成,新疆,吐鲁番,853.73,4.78,870.96
222,4533,2026-06-29,支付宝,加急快递,23.92,待付款,江苏,徐州,66.37,0.0,90.29
223,7473,2026-06-29,货到付款,加急快递,12.67,待发货,广东,惠州,102.88,32.6,82.95
224,4515,2026-06-29,微信支付,加急快递,29.14,已完成,江西,上饶,40.59,0.0,69.73
225,1029,2026-06-29,京东白条,加急快递,22.99,待付款,新疆,库尔勒,133.54,0.0,156.53
226,11121,2026-06-29,支付宝,普通快递,5.0,已完成,江苏,扬州,36.62,7.92,33.699999999999996
227,952,2026-06-29,支付宝,普通快递,10.0,已取消,湖南,株洲,723.46,56.37,677.09
228,119,2026-06-29,微信支付,普通快递,8.0,待付款,山东,淄博,125.76,38.68,95.08000000000001
229,3271,2026-06-29,支付宝,自提,0.0,已完成,湖南,常德,31.42,5.97,25.450000000000003
230,3350,2026-06-29,货到付款,普通快递,0.0,已完成,湖北,宜昌,29.54,6.51,23.03
231,3496,2026-06-29,京东白条,自提,0.0,已取消,浙江,湖州,414.22,68.43,345.79
232,9624,2026-06-29,支付宝,普通快递,5.0,已取消,河北,邯郸,163.47,8.15,160.32
233,3457,2026-06-29,支付宝,普通快递,0.0,已完成,江苏,南通,88.38,0.82,87.56
234,7566,2026-06-29,银行卡,普通快递,12.0,待付款,北京,通州区,148.94,53.15,107.78999999999999
235,87,2026-06-29,货到付款,自提,0.0,已发货,上海,静安区,51.78,0.0,51.78
236,10722,2026-06-29,微信支付,加急快递,26.38,已完成,广东,惠州,354.9,0.0,381.28
237,3141,2026-06-29,花呗分期,普通快递,0.0,已完成,广东,深圳,27.36,2.75,24.61
238,6465,2026-06-29,支付宝,普通快递,5.0,已取消,北京,朝阳区,94.28,30.17,69.11
239,6820,2026-06-29,支付宝,普通快递,10.0,已完成,上海,黄浦区,277.9,9.04,278.85999999999996
240,2893,2026-06-29,支付宝,普通快递,5.0,已完成,四川,宜宾,363.53,16.06,352.46999999999997
241,7092,2026-06-29,货到付款,当日达,42.88,待付款,湖北,襄阳,218.05,0.0,260.93
242,10413,2026-06-29,花呗分期,普通快递,0.0,已完成,上海,徐汇区,85.24,0.0,85.24
243,3990,2026-06-29,微信支付,加急快递,23.33,已完成,福建,厦门,78.77,10.16,91.94
244,11218,2026-06-29,微信支付,自提,0.0,已完成,湖北,荆州,49.78,0.0,49.78
245,2826,2026-06-29,微信支付,普通快递,0.0,待发货,安徽,芜湖,128.36,0.73,127.63000000000001
246,1426,2026-06-29,支付宝,普通快递,5.0,已完成,上海,浦东新区,34.46,3.45,36.010000000000005
247,4218,2026-06-29,银行卡,加急快递,14.91,已完成,福建,福州,289.68,133.24,171.35
248,10724,2026-06-29,支付宝,普通快递,5.0,已完成,湖南,岳阳,140.58,66.84,78.74000000000001
249,1953,2026-06-29,花呗分期,普通快递,8.0,退货中,云南,保山,92.52,13.94,86.58
250,5015,2026-06-29,货到付款,普通快递,12.0,已发货,河北,保定,25.69,0.6,37.09
251,7486,2026-06-29,银行卡,普通快递,0.0,已取消,广东,惠州,699.09,0.0,699.09
252,9791,2026-06-29,微信支付,加急快递,19.54,已发货,河南,南阳,226.47,52.02,193.98999999999998
253,10869,2026-06-29,微信支付,当日达,35.98,已完成,辽宁,沈阳,27.56,0.0,63.53999999999999
254,11907,2026-06-29,支付宝,当日达,43.57,已取消,福建,莆田,631.56,2.75,672.38
255,10149,2026-06-29,支付宝,加急快递,20.65,已发货,广东,惠州,246.02,0.29,266.38
256,111,2026-06-29,微信支付,普通快递,0.0,已完成,广西,南宁,64.28,3.91,60.370000000000005
257,4735,2026-06-29,支付宝,普通快递,0.0,已发货,浙江,杭州,234.67,27.41,207.26
258,10258,2026-06-29,支付宝,加急快递,22.59,已取消,上海,黄浦区,414.06,0.0,436.65
259,11721,2026-06-29,支付宝,普通快递,0.0,已完成,四川,宜宾,172.7,0.0,172.7
260,718,2026-06-29,支付宝,普通快递,5.0,已完成,上海,静安区,182.59,11.82,175.77
261,4097,2026-06-29,支付宝,普通快递,8.0,已发货,上海,长宁区,192.8,0.0,200.8
262,7801,2026-06-29,京东白条,普通快递,0.0,已完成,北京,大兴区,318.84,3.42,315.41999999999996
263,4926,2026-06-29,支付宝,自提,0.0,已完成,辽宁,营口,690.03,1.43,688.6
264,1898,2026-06-29,花呗分期,加急快递,14.79,退货中,陕西,渭南,35.54,0.0,50.33
265,10805,2026-06-29,支付宝,普通快递,10.0,已发货,湖北,襄阳,86.1,0.0,96.1
266,3678,2026-06-29,微信支付,当日达,28.44,已完成,江苏,南通,124.15,11.08,141.51000000000002
267,3092,2026-06-29,银行卡,自提,0.0,已完成,上海,浦东新区,7.59,0.0,7.59
268,6857,2026-06-29,微信支付,自提,0.0,待发货,湖南,湘潭,29.79,0.0,29.79
269,10141,2026-06-29,微信支付,普通快递,15.0,已完成,吉林,四平,30.01,0.0,45.010000000000005
270,5734,2026-06-29,花呗分期,普通快递,0.0,已取消,河南,许昌,422.77,1.21,421.56
271,1355,2026-06-29,支付宝,自提,0.0,待发货,四川,成都,76.78,1.17,75.61
272,5393,2026-06-29,花呗分期,加急快递,20.84,已完成,安徽,安庆,106.75,4.31,123.28
273,1196,2026-06-29,花呗分期,普通快递,0.0,已完成,山东,济南,101.1,5.87,95.22999999999999
274,2101,2026-06-29,花呗分期,自提,0.0,已取消,重庆,渝中区,10.15,5.23,4.92
